begin_day,year,month,cz_type,damage_property,event_type_debris flow,event_type_dense fog,event_type_flash flood,event_type_flood,event_type_hail,event_type_heavy rain,event_type_heavy snow,event_type_high surf,event_type_high wind,event_type_lightning,event_type_strong wind,event_type_thunderstorm wind,event_type_wildfire,event_type_winter storm,event_type_winter weather,begin_azimuth_ene,begin_azimuth_ese,begin_azimuth_n,begin_azimuth_ne,begin_azimuth_nne,begin_azimuth_nnw,begin_azimuth_nw,begin_azimuth_s,begin_azimuth_se,begin_azimuth_sse,begin_azimuth_ssw,begin_azimuth_sw,begin_azimuth_w,begin_azimuth_wnw,begin_azimuth_wsw,begin_hour_of_day,end_hour_of_day,time_of_day_evening,time_of_day_morning,day_of_week_monday,day_of_week_saturday,day_of_week_sunday,day_of_week_thursday,day_of_week_tuesday,day_of_week_wednesday,lat,lon,county_name,land_area,county_households,humidity,dew_point,wind_direction,wind_speed,air_pressure,precipitation,temperature,duration_hours,property_damage_per_capita,population_density,coast_distance
11,2014,1,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,0,1,0,0,0,0,36.5133,-118.0127,Inyo,10197,9512.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,8.0,5.466870763175159e-05,1.7938609394920075,168.78522801261613
7,2014,2,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0,0,0,0,41.5425,-121.8967,Siskiyou,6279,24035.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,10.0,2.3074438137431354e-05,6.902054467271858,482.6810737136098
7,2014,2,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0,0,0,0,41.2704,-122.1846,Siskiyou,6279,24035.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,10.0,2.3074438137431354e-05,6.902054467271858,466.6807799200366
7,2014,2,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,0,0,0,0,0,0,0,0,41.5562,-123.1641,Siskiyou,6279,24035.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,10.0,2.3074438137431354e-05,6.902054467271858,498.0725312617663
15,2014,2,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,0,0,0,1,0,0,0,0,41.5611,-120.7585,Modoc,3948,5235.0,0.5916666666666667,32.63,192.0,7.5082329166666675,1011.6500000000001,0.0,46.52,6.0,0.00011027790030877812,2.2968591691995948,479.09695907678963
15,2014,2,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,1,0,1,0,0,0,0,41.5425,-121.8967,Siskiyou,6279,24035.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,8.0,2.3074438137431354e-05,6.902054467271858,482.6810737136098
11,2014,1,Z,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,1,0,0,1,0,0,0,0,32.9783,-117.2367,San Diego,4210,1187506.0,0.7013333333333334,48.344,229.16666666666666,2.26179044,1018.3733333333333,0.0,59.263999999999996,14.0,3.0779866396911915e-07,771.7047505938242,2.4452958566052696
14,2014,1,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,1,0,33.7424,-116.3024,Riverside,7209,819390.0,0.32,24.8,330.0,5.840887400000001,1027.1,0.0,53.96,0.5,4.3174872914761575e-07,321.2875572201415,72.92112390232906
14,2014,1,Z,4000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,1,0,0,0,0,1,0,33.8486,-117.2412,Riverside,7209,819390.0,0.37,18.5,180.0,2.2369356000000002,1025.9,0.0,43.07,1.0,0.001726994916590463,321.2875572201415,36.800284901349684
14,2014,1,Z,4000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,1,0,0,0,0,1,0,33.8486,-117.2412,San Bernardino,20068,708284.0,0.37,18.5,180.0,2.2369356000000002,1025.9,0.0,43.07,1.0,0.0019055050517320803,104.60339844528603,36.800284901349684
14,2014,1,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,33.0713,-116.5324,San Diego,4210,1187506.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,22.0,3.0779866396911915e-07,771.7047505938242,43.34094480658035
13,2014,1,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,33.0047,-116.9604,San Diego,4210,1187506.0,0.235,14.67875,80.88888888888889,7.960021414583335,1023.0666666666666,0.0,60.08,47.0,3.0779866396911915e-07,771.7047505938242,18.23612227076084
14,2014,1,Z,2000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,33.6256,-117.455,Orange,793,1071573.0,0.1264705882352941,14.995294117647056,93.52941176470588,12.339697035294115,1025.141176470588,2.6,69.21764705882353,16.166666666666668,0.0006396853771441054,3942.6696090794453,17.11268141461557
14,2014,1,Z,2000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,33.6256,-117.455,Riverside,7209,819390.0,0.1264705882352941,14.995294117647056,93.52941176470588,12.339697035294115,1025.141176470588,2.6,69.21764705882353,16.166666666666668,0.0008634974582952315,321.2875572201415,17.11268141461557
14,2014,1,Z,2000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,33.6256,-117.455,San Diego,4210,1187506.0,0.1264705882352941,14.995294117647056,93.52941176470588,12.339697035294115,1025.141176470588,2.6,69.21764705882353,16.166666666666668,0.0006155973279382384,771.7047505938242,17.11268141461557
24,2014,1,Z,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,32.9783,-117.2367,San Diego,4210,1187506.0,0.6698550724637681,47.88434782608696,176.76923076923077,1.92715063768116,1020.0956521739129,0.0,59.48782608695653,68.00000000000001,3.0779866396911915e-07,771.7047505938242,2.4452958566052696
7,2014,2,Z,25000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,36.5133,-118.0127,Inyo,10197,9512.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,0.21666666666666667,1.3667176907937897,1.7938609394920075,168.78522801261613
9,2014,2,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,1,0,0,0,36.5133,-118.0127,Inyo,10197,9512.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,2.0,5.466870763175159e-05,1.7938609394920075,168.78522801261613
15,2014,2,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,0,0,0,1,0,0,0,0,36.5133,-118.0127,Inyo,10197,9512.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,1.0,5.466870763175159e-05,1.7938609394920075,168.78522801261613
28,2014,2,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,0,0,0,0,0,36.8269,-118.341,Inyo,10197,9512.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,19.983333333333334,5.466870763175159e-05,1.7938609394920075,180.24951081616985
28,2014,2,C,51000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,14,0,0,0,0,0,0,0,0,40.466,-120.5471,Lassen,4541,12740.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,-1.0,1.6106619504800403,6.972913455186083,403.403757439978
28,2014,2,C,51000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,14,0,0,0,0,0,0,0,0,40.466,-120.5471,Plumas,2553,15698.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,-1.0,2.7386961658253677,7.294163728946337,403.403757439978
28,2014,2,C,51000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,14,0,0,0,0,0,0,0,0,40.466,-120.5471,Sierra,953,2343.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,-1.0,17.16016150740242,3.1185729275970617,403.403757439978
22,2014,1,Z,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,1,0,0,0,0,0,0,1,32.9783,-117.2367,San Diego,4210,1187506.0,0.8225,51.2375,167.5,3.883568750000001,1013.1375,0.0,57.683749999999996,15.0,3.0779866396911915e-07,771.7047505938242,2.4452958566052696
28,2014,1,Z,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,32.9783,-117.2367,San Diego,4210,1187506.0,0.8444444444444444,51.78,193.75,1.021810088888889,1017.688888888889,0.0,56.44,8.0,3.0779866396911915e-07,771.7047505938242,2.4452958566052696
30,2014,1,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,1,0,0,0,1,0,0,34.5427,-117.0143,San Bernardino,20068,708284.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,11.0,4.7637626293302005e-07,104.60339844528603,82.13757250240201
30,2014,1,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,0,0,1,0,0,33.7424,-116.3024,Riverside,7209,819390.0,0.426,37.867999999999995,172.0,4.12590344,1010.54,0.0,61.988,4.500000000000001,4.3174872914761575e-07,321.2875572201415,72.92112390232906
30,2014,1,Z,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,1,0,0,0,1,0,0,32.9783,-117.2367,San Diego,4210,1187506.0,0.934,51.548,148.0,4.89640348,1014.68,0.0,53.42,4.0,3.0779866396911915e-07,771.7047505938242,2.4452958566052696
1,2014,3,Z,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,36.8269,-118.341,Inyo,10197,9512.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,4.0,5.466870763175159e-05,1.7938609394920075,180.24951081616985
6,2014,3,Z,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,1,0,0,36.5133,-118.0127,Inyo,10197,9512.0,0.7029137583039907,36.54488034031039,170.33273633198536,8.73232136034264,1013.6383270659837,0.0,48.46658161973683,2.0,5.466870763175159e-05,1.7938609394920075,168.78522801261613
